정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB208000333,어린이집,37.3930667,126.9143667,2025-10-31,9297.0,31040,경기도 안양시,경기BIS
GGB208000334,어린이집,37.3932,126.9142333,2025-10-31,9298.0,31040,경기도 안양시,경기BIS
GGB208000335,흥화아파트,37.3937333,126.9151667,2025-10-31,9299.0,31040,경기도 안양시,경기BIS
GGB208000336,흥화아파트,37.39385,126.9153,2025-10-31,9300.0,31040,경기도 안양시,경기BIS
GGB208000337,청수약국사거리,37.3953,126.9186167,2025-10-31,9301.0,31040,경기도 안양시,경기BIS
GGB208000338,안양4동행정복지센터,37.3954833,126.9185833,2025-10-31,9302.0,31040,경기도 안양시,경기BIS
GGB208000339,천주교중앙성당,37.3960333,126.92,2025-10-31,9303.0,31040,경기도 안양시,경기BIS
GGB208000340,안양4동,37.3962167,126.91995,2025-10-31,9304.0,31040,경기도 안양시,경기BIS
GGB208000341,중앙시장.부림저축은행,37.39695,126.92175,2025-10-31,9305.0,31040,경기도 안양시,경기BIS
GGB208000342,중앙시장,37.3966167,126.92075,2025-10-31,9306.0,31040,경기도 안양시,경기BIS
GGB208000343,안양1번가.남부시장앞,37.39765,126.9230333,2025-10-31,9307.0,31040,경기도 안양시,경기BIS
GGB208000344,안양1번가.남부시장입구,37.3979333,126.9232167,2025-10-31,9308.0,31040,경기도 안양시,경기BIS
GGB208000345,안양1동행정복지센터.푸르지오더샵,37.3998833,126.9275333,2025-10-31,9309.0,31040,경기도 안양시,경기BIS
GGB208000346,안양지하차도,37.4000667,126.9273667,2025-10-31,9310.0,31040,경기도 안양시,경기BIS
GGB208000347,주공뜨란체아파트,37.4001333,126.9245167,2025-10-31,9311.0,31040,경기도 안양시,경기BIS
GGB208000348,주공뜨란체아파트,37.4002333,126.9242833,2025-10-31,9312.0,31040,경기도 안양시,경기BIS
GGB208000349,안양역.삼성래미안,37.4014667,126.9236,2025-10-31,9313.0,31040,경기도 안양시,경기BIS
GGB208000350,안양역후문,37.4018,126.92315,2025-10-31,9314.0,31040,경기도 안양시,경기BIS
GGB208000351,경남아너스빌.한양수자인,37.4059,126.92015,2025-10-31,9315.0,31040,경기도 안양시,경기BIS
GGB208000352,경남아너스빌,37.4054333,126.9201333,2025-10-31,9316.0,31040,경기도 안양시,경기BIS
GGB208000353,양명고.양명여고.대우아파트,37.4066,126.9213833,2025-10-31,9317.0,31040,경기도 안양시,경기BIS
GGB208000354,양명고등학교.대우아파트,37.4065167,126.92125,2025-10-31,9318.0,31040,경기도 안양시,경기BIS
GGB208000355,만안초등학교,37.4064333,126.9177,2025-10-31,9319.0,31040,경기도 안양시,경기BIS
GGB208000356,안양2동행정복지센터,37.4049667,126.9192,2025-10-31,9320.0,31040,경기도 안양시,경기BIS
GGB208000357,안양교남단,37.4079833,126.9164333,2025-10-31,9321.0,31040,경기도 안양시,경기BIS
GGB208000358,안양교남단,37.4083667,126.9163833,2025-10-31,9322.0,31040,경기도 안양시,경기BIS
GGB208000359,영화아파트,37.4109167,126.9141,2025-10-31,9323.0,31040,경기도 안양시,경기BIS
GGB208000360,영화아파트,37.4109833,126.9143,2025-10-31,9324.0,31040,경기도 안양시,경기BIS
GGB208000361,만안교,37.41445,126.91215,2025-10-31,9325.0,31040,경기도 안양시,경기BIS
GGB208000362,석수교회,37.4162167,126.9107667,2025-10-31,9326.0,31040,경기도 안양시,경기BIS
GGB208000363,안양박물관.김중업건축박물관,37.4175833,126.91805,2025-10-31,9327.0,31040,경기도 안양시,경기BIS
GGB208000364,안양박물관.김중업건축박물관.아르테자이정문,37.4174833,126.91815,2025-10-31,9328.0,31040,경기도 안양시,경기BIS
GGB208000365,안양예술공원종점.갈메산기도원입구,37.4189667,126.9204333,2025-10-31,9329.0,31040,경기도 안양시,경기BIS
GGB208000366,육군7688부대,37.3928667,126.8910833,2025-10-31,9330.0,31040,경기도 안양시,경기BIS
GGB208000367,금호아파트,37.3995,126.9001667,2025-10-31,9331.0,31040,경기도 안양시,경기BIS
GGB208000368,열린문교회,37.4013167,126.905,2025-10-31,9332.0,31040,경기도 안양시,경기BIS
