kidgartn_nm,sido_nm,signgu_nm,kidgartn_type_div_nm,refine_road_nm_addr,refine_zipno,kidgartn_telno,kidgartn_faxno,nrsryrm_cnt,playgrnd_cnt,cctv_instl_cnt,chldcare_schlstaf_cnt,fnop_cnt,atndskl_vehcle_opr_yn,hmpg_addr,wgs84_lat,wgs84_logt,dat_crtr_ymd
아이큐몬테소리어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 양화로 73 (안양동),14009,031-468-6436,031-444-8219,5,0,0,0,39,Y,,37.39995857,126.9126086,20250725
아가사랑어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 석수로26번길 44 101동 102호(석수동,새천년맨션)",13969,031-472-9165,031-472-9165,3,0,4,0,14,N,,37.41247469,126.9078697,20250725
꿈땅숲어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 성결대학로23번길 59 (안양동),,031-443-4492,031-443-4492,5,0,6,0,39,Y,http://cafe.naver.com/dreamlandforest2020,37.38088976,126.9302221,20250725
통통어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 연현로79번길 56 엘지빌리지 4단지내 (석수동),13903,031-471-0077,031-471-0028,4,0,5,9,45,N,,37.429848,126.901024,20250725
또래또어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 양화로105번길 69 (박달동),14009,031-464-3311,031-464-3310,7,1,8,0,52,Y,,37.40127449,126.9086399,20250725
동은어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 관악대로434번길 27 (관양동),13949,031-424-0209,031-421-3183,3,1,7,13,35,N,,37.40354687,126.9712417,20250725
숲어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 예술공원로118번길 21-43 ,13911,031-473-4523,031-473-4522,7,3,8,0,70,Y,http://cafe.daum.net/supicokr,37.41675469,126.9207221,20250725
푸른숲어린이집,경기도,안양시동안구,민간,경기 안양시 동안구 호계1동 987-23 ,,031-453-8358,--,3,0,0,0,27, ,,,,20250725
그린빌어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 경수대로 1272 100호 상가동,13909,031-471-1034,031-471-1034,3,1,4,8,27,N,,37.42651445,126.9119253,20250725
푸른하늘어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로584번길 11 (호계동),14109,031-454-2671,031-454-2671,4,1,0,0,30,Y,,37.37496748,126.9576115,20250725
