bizplc_nm,medinst_asortmt_nm,bsn_state_nm,licensg_ymd,clsbiz_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,medstaf_cnt,hosptlrm_cnt,sickbd_cnt,tot_ar,treat_sbject_cont_info,refine_wgs84_lat,refine_wgs84_logt
(사)한국노년자원봉사회 동방요양병원,요양병원(일반요양병원),폐업,20110620,20130118,"경기도 안양시 만안구 병목안로 31-1 (안양동,지하1층, 지상1,2,3,4층)","경기도 안양시 만안구 안양4동 711번지 6호 지하1층, 지상1,2,3,4층",14002,031-469-9117,3,3,60,817.59,"내과, 신경과, 외과, 정형외과, 신경외과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",37.3978620305,126.9177655507
365매일한방병원,한방병원,영업중,20220801,,"경기도 안양시 동안구 시민대로 199, (주)신한방 평촌지구 매장1 4층, 5층 (비산동)",경기도 안양시 동안구 비산동 1114 (주)신한방 평촌지구 매장1,14047,031-341-3650,21,14,52,2369.42,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",37.3922438363,126.9530786407
국제나은병원,병원,영업중,20070904,,경기도 안양시 만안구 안양로223번길 5 (안양동),경기도 안양시 만안구 안양동 456-1번지,14030,1670-7575,83,32,125,9555.06,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과, 직업환경의학과",37.392907299,126.9257119306
굿닥터튼튼병원,병원,폐업,20110221,20210820,"경기도 안양시 동안구 경수대로 775, 1.3~9층 (호계동, 대교빌딩)",경기도 안양시 동안구 호계동 903-2번지 대교빌딩 1.3~9층,14041,1577-2070,1,20,84,3387.29,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과",37.3896186501,126.9467941309
그린재활의학과병원,병원,영업중,20081010,,"경기도 안양시 동안구 시민대로 311, 4층 (관양동, 금강스마트빌딩)",경기도 안양시 동안구 관양동 1746번지 금강스마트빌딩 4층,14055,031-421-9600,32,28,124,2429,재활의학과,37.396100597,126.964653374
대윤한방병원,한방병원,영업중,20220511,,경기도 안양시 동안구 시민대로 388(관양동),경기도 안양시 동안구 관양동 908-10번지,14058,031-360-1375,12,22,60,1934.36,"내과, 산부인과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",37.3959856278,126.9731726622
라온한방병원,한방병원,영업중,20200417,,"경기도 안양시 동안구 경수대로 588, 3~5층 (호계동)","경기도 안양시 동안구 호계동 985-5번지 , 3~5층",14109,1800-5355,15,12,40,1106.88,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",37.3751366795,126.9571898623
메디하임효병원,요양병원(일반요양병원),폐업,20110607,20240413,"경기도 안양시 만안구 안양로 115 (안양동, 지상2,3,4,5,6층)","경기도 안양시 만안구 안양8동 548번지 6호 지상2,3,4,5,6층",14093,031-346-7601,17,31,172,2674.42,"내과, 정신건강의학과, 재활의학과, 가정의학과, 한방내과, 침구과",37.3849089278,126.9325166657
민정형외과병원,병원,폐업,20180618,20251002,"경기도 안양시 만안구 안양로 375, 유연빌딩(지하1층~6층) (안양동)",경기도 안양시 만안구 안양동 838번지 12호 유연빌딩(지하1층~6층),13988,031-469-1007,7,13,36,1613.49,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",37.4044621318,126.9163586088
바른몸 한방병원,한방병원,영업중,20160617,,"경기도 안양시 만안구 안양로 303, 5층 (안양동, 안양 메쎄 포스빌)",경기도 안양시 만안구 안양동 676번지 91호,14001,031-360-1275,8,12,49,1535.7,"가정의학과, 한방내과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 사상체질과, 침구과",37.3987963741,126.9208088102
본병원,병원,전출,20160502,,"경기도 안양시 만안구 안양로314번길 15, 3 ~ 8층 (안양동)",경기도 안양시 만안구 안양동 668번지 35호,13992,1522-2900,12,15,82,3219,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",37.4006903413,126.9210314998
봄빛병원,병원,영업중,19980221,,경기도 안양시 동안구 평촌대로211번길 26 (호계동),경기도 안양시 동안구 호계동 1049-3번지,14072,031-380-7300,69,41,66,8055.68,"내과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 가정의학과",37.390222391,126.9545167277
새안양성모병원,병원,폐업,19840322,20180411,경기도 안양시 동안구 경수대로 905 (비산동),경기도 안양시 동안구 비산동 566번지 3호,13955,031-443-8651,6,28,95,2793,"내과, 정신건강의학과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 피부과",37.3972376542,126.9358582755
생기가득한방병원,한방병원,영업중,20220926,,"경기도 안양시 동안구 경수대로 689, 생기가득 한방병원 2~5층 (호계동)",경기도 안양시 동안구 호계동 923-12번지 생기가득 한방병원 2~5층,14078,031-457-7575,24,31,66,1339.6,"외과, 정형외과, 마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",37.3833687677,126.9518779774
선진병원(요양병원),요양병원(일반요양병원),영업중,19811101,,경기도 안양시 만안구 안양로 325-1 (안양동),경기도 안양시 만안구 안양동 695번지 207호,14006,031-442-6655,10,17,57,1641.05,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 가정의학과",37.4006453671,126.9192128064
성심힐요양병원,요양병원(일반요양병원),영업중,20130723,,"경기도 안양시 만안구 안양로 102, 2,3,4,5층 (안양동, 현대센타빌딩)",경기도 안양시 만안구  534번지 13호 외 1필지,14035,031-441-0153,26,29,144,1899.16,"내과, 신경과, 외과, 정형외과, 신경외과, 소아청소년과, 피부과, 재활의학과, 한방내과, 한방재활의학과, 침구과",37.3841865285,126.9341261303
시대병원,병원,영업중,20221219,,"경기도 안양시 동안구 엘에스로 37, 2~5층 (호계동)",경기도 안양시 동안구 호계동 712,14121,031-344-0100,8,11,37,2800,"내과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 재활의학과, 가정의학과",37.3672132057,126.9551463807
신병원,병원,폐업,19820525,20031105,경기도 안양시 만안구 냉천로 5,경기도 안양시 만안구안양8동 559-7,14091,031-449-0121,6,12,35,6847.5,"내과, 마취통증의학과, 산부인과, 소아청소년과, 진단검사의학과, 가정의학과",37.382153363,126.9293181825
아름다운치과병원,치과병원,폐업,19991125,20051223,경기도 안양시 동안구 시민대로 206,경기도 안양시 동안구 범계동 1042-1,14072,031-383-5172,9,3,5,1349,치과,37.3917151775,126.953760305
아름다운치과병원,치과병원,폐업,20060217,20101123,"경기도 안양시 동안구 시민대로 210 (호계동,대한생명빌딩 3층)",경기도 안양시 동안구 범계동 1043번지 대한생명빌딩 3층,14072,031-385-0123,5,0,0,966.75,치과,37.3918439211,126.9543129276
아벤스병원,병원,영업중,20081015,,"경기도 안양시 동안구 관평로 307, 지하1층, 1층-5층 (관양동, 아벤스병원)","경기도 안양시 동안구 관양동 1400-5번지 아벤스병원 지하1층, 1층-5층",13936,031-387-2211,44,32,130,4042.9,"외과, 재활의학과, 한방재활의학과",37.403969863,126.9568124491
아이생각성모병원,병원,영업중,20241104,,"경기도 안양시 동안구 경수대로 876, 2층(일부),3~5층 (비산동)",경기도 안양시 동안구 비산동 422-12,13954,031-381-8881,29,41,58,2877.25,소아청소년과,37.3966218741,126.9390488667
안양서울 대효요양병원,요양병원(일반요양병원),영업중,20190704,,"경기도 안양시 만안구 병목안로 20, 스페이스타워 5 ~10층 (안양동)",경기도 안양시 만안구 안양동 782번지 18호 스페이스타워,14001,031-688-7114,36,37,189,2946,"내과, 신경과, 외과, 신경외과, 심장혈관흉부외과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과",37.398955649,126.9183671889
안양요양병원,요양병원(일반요양병원),영업중,20181029,,"경기도 안양시 만안구 안양로 335, 지하1층~지상5층 (안양동)",경기도 안양시 만안구 안양동 695번지 209호 지하1층~지상5층,14006,031-442-7582,36,40,198,4051.71,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과",37.4014630282,126.9186867647
안양한방병원,한방병원,영업중,20200401,,"경기도 안양시 동안구 흥안대로 125, 3층, 5층 (호계동)","경기도 안양시 동안구 호계동 1003-5번지 3층, 5층",14112,031-381-3388,6,21,52,1447,"외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",37.3708525382,126.9585872974
안양효노인병원,요양병원(일반요양병원),전출,20081110,,"경기도 안양시 동안구 경수대로 876 (비산동, 효봉빌딩)",경기도 안양시 동안구 비산동 422번지 11호,13954,031-476-7566,25,21,131,1293,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 재활의학과, 한방내과",37.3966218741,126.9390488667
안양효노인병원,요양병원(일반요양병원),폐업,20060907,20080213,,경기도 안양시 동안구 비산2동 422-11,13954,031-476-7566,2,17,63,843.48,"내과, 정형외과, 신경외과, 재활의학과",37.3963277185,126.9393499125
안양효노인병원,요양병원(일반요양병원),폐업,20080213,20081110,,경기도 안양시 동안구 비산2동 422-11,13954,031-476-7566,2,18,82,635,"내과, 정형외과, 신경외과, 재활의학과",37.3963277185,126.9393499125
