bizplc_nm,bizcond_div_nm_info,store_div_nm,bsn_state_nm,licensg_ymd,clsbiz_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,locplc_ar_info,refine_wgs84_lat,refine_wgs84_logt
안양중앙시장,그 밖의 대규모점포,,정상영업,19611106,,경기도 안양시 만안구 냉천로 196 (안양동),경기도 안양시만안구 안양동 676번지 44호,14001,031-449-6047,,37.3975739203,126.91966583
청원시장,그 밖의 대규모점포,,정상영업,19760614,,,경기도 안양시만안구 안양동 688번지 17 호,,031-449-6498,,,
석수시장,그 밖의 대규모점포,,정상영업,19790929,,,경기도 안양시만안구 석수동 387번지 288호,,031-473-1155,,,
안양중앙지하도 상가,시장,,정상영업,19791123,,,경기도 안양시만안구 안양동 1189번지 1호,,031-468-7814,1266,,
역전지하상가,그 밖의 대규모점포,,정상영업,19860624,,경기도 안양시 만안구 예술공원로64번길 27 (안양동),경기도 안양시만안구 안양동 41번지 5호,13958,031-466-9111,,,
육동시장,그 밖의 대규모점포,,정상영업,19880604,,,경기도 안양시만안구 안양동 434번지 3   호,14033,031-449-0481,,,
패션일번가,그 밖의 대규모점포,대규모점포,정상영업,20040519,,경기도 안양시 만안구 안양로 309 (안양동),경기도 안양시만안구 안양동 676번지 6호,14001,031-463-5780,5237.36,37.3993438083,126.9203187751
주식회사 부방유통,대형마트,대규모점포,정상영업,20051229,,"경기도 안양시 동안구 관악대로 104, 부방유통 (비산동)",경기도 안양시 동안구 비산동 411-8 부방유통,13954,031-380-3353,8992.69,37.3983346986,126.9353077463
홈플러스(주) 평촌점,복합쇼핑몰,대규모점포,정상영업,20080710,,"경기도 안양시 동안구 동안로 162 (비산동, 홈플러스)",경기도 안양시 동안구 비산동 1109번지 3호,14046,031-470-8000,6389.5,37.393268123,126.9504276328
홈플러스(주)익스프레스 안양석수점,복합쇼핑몰,준대규모점포,정상영업,20111229,,경기도 안양시 만안구 충훈로 88 (석수동),경기도 안양시 만안구 석수3동 787번지 3호,430853,031-473-8562,302.27,37.4078445118,126.8988182145
홈플러스(주)익스프레스 안양점,구분없음,준대규모점포,정상영업,20120202,,경기도 안양시 만안구 냉천로 7 (안양동),경기도 안양시 만안구 안양8동 559번지 2호,430827,031-465-8543,232.7,37.3824950544,126.9291461582
(주)이마트평촌점,대형마트,대규모점포,정상영업,20020829,,경기도 안양시 동안구 시민대로 300 (관양동),경기도 안양시동안구 관양동 1608번지 3호,431060,031-687-1052,10130,37.3949065751,126.9637241704
롯데쇼핑(주)롯데슈퍼 안양점,구분없음,준대규모점포,정상영업,20110902,,경기도 안양시 만안구 안양로329번길 108 (안양동),경기도 안양시 만안구 안양3동 900번지 10호 101,430013,031-464-5603,1365.5,37.4013274083,126.9131289596
(주)이마트에브리데이 안양관양점,구분없음,준대규모점포,정상영업,20211119,,"경기도 안양시 동안구 동편로 136, 1층 101호 (관양동)",경기도 안양시 동안구 관양동 1677,13928,031-360-0835,372.98,37.4101280034,126.9671073287
