LBRRY_NM,CTPRVN_NM,SIGNGU_NM,LBRRY_SE,CLOSE_DAY,WEEKDAY_OPER_OPEN_HHMM,WEEKDAY_OPER_COLSE_HHMM,RDNMADR,OPER_INSTITUTION_NM,PHONE_NUMBER,HOMEPAGE_URL,LATITUDE,LONGITUDE,REFERENCE_DATE
벌말도서관,경기도,안양시,공공도서관,금요일+국가지정공휴일,09:00,20:00,경기도 안양시 동안구 흥안대로434번길 19-27 (평촌동),경기도 안양시청,031-8045-6301,http://lib.anyang.go.kr,37.393843,126.976429,2026-01-02
안양어린이도서관,경기도,안양시,공공도서관,월요일+국가지정공휴일,10:00,19:00,경기도 안양시 동안구 동안로 66 (호계동),경기도 안양시청,031-8045-6281,http://lib.anyang.go.kr,37.384981,126.954594,2026-01-02
호계도서관,경기도,안양시,공공도서관,월요일+국가지정공휴일,08:00,23:00,경기도 안양시 동안구 경수대로685번길 26 (호계동),경기도 안양시청,031-8045-6261,http://lib.anyang.go.kr,37.383058,126.950530,2026-01-02
비산도서관,경기도,안양시,공공도서관,월요일+국가지정공휴일,08:00,23:00,경기도 안양시 동안구 관악대로 123 (비산동),경기도 안양시청,031-8045-6243,http://lib.anyang.go.kr,37.399112,126.937649,2026-01-02
관양도서관,경기도,안양시,공공도서관,금요일+국가지정공휴일,08:00,23:00,경기도 안양시 동안구 동편로 124 (관양동),경기도 안양시청,031-8045-6339,http://lib.anyang.go.kr,37.410985,126.968101,2026-01-02
평촌도서관(임시자료실 운영중/안양어린이도서관 2층),경기도,안양시,공공도서관,월요일+국가지정공휴일,10:00,19:00,경기도 안양시 동안구 동안로 66 (호계동),경기도 안양시청,031-8045-6204,http://lib.anyang.go.kr,37.384981,126.954594,2026-01-02
큰샘어린이도서관,경기도,안양시,공공도서관,금요일+국가지정공휴일,10:00,19:00,경기도 안양시 만안구 덕천로 102 (안양동),경기도 안양시청,031-8045-6450,http://lib.anyang.go.kr,37.390180,126.934500,2026-01-02
박달도서관,경기도,안양시,공공도서관,금요일+국가지정공휴일,08:00,23:00,경기도 안양시 만안구 박달로 459 (박달동),경기도 안양시청,031-8045-6175,http://lib.anyang.go.kr,37.4025131,126.9035738,2026-01-02
삼덕도서관,경기도,안양시,공공도서관,월요일+국가지정공휴일,08:00,23:00,경기도 안양시 만안구 병목안로 58 (안양동),경기도 안양시청,031-8045-6350,http://lib.anyang.go.kr,37.39640048,126.9154012,2026-01-02
만안도서관,경기도,안양시,공공도서관,금요일+국가지정공휴일,08:00,23:00,경기도 안양시 만안구 냉천로 51 (안양동),경기도 안양시청,031-8045-6161,http://lib.anyang.go.kr,37.3861957,126.9262236,2026-01-02
석수도서관,경기도,안양시,공공도서관,월요일+국가지정공휴일,08:00,23:00,경기도 안양시 만안구 양화로217번길 34 (석수동),경기도 안양시청,031-8045-6106,http://lib.anyang.go.kr,37.4116018,126.902654,2026-01-02
