MANAGE_NO,PARK_NM,PARK_SE,RDNMADR,LNMADR,LATITUDE,LONGITUDE,PARK_AR,MVM_FCLTY,AMSMT_FCLTY,CNVNNC_FCLTY,CLTR_FCLTY,ETC_FCLTY,APPN_NTFC_DATE,INSTITUTION_NM,PHONE_NUMBER,REFERENCE_DATE
41173-00009,마분어린이공원(18호),어린이공원,,경기도 안양시 동안구 관양동 1419-7,37.405433,126.962031,1700.2,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00008,관양어린이공원(17호),어린이공원,,경기도 안양시 동안구 관양동 1413-2,37.407534,126.961578,1694.3,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00007,해동어린이공원(15호),어린이공원,,경기도 안양시 동안구 관양동 1393-4,37.407421,126.956118,1700,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00006,수목어린이공원(14호),어린이공원,,경기도 안양시 동안구 관양동 1377,37.405105,126.9534961624,1207.5,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00005,다보란어린이공원(13호),어린이공원,,경기도 안양시 동안구 비산동 1051,37.403131,126.952049,1700.7,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00004,운곡공원(8호),근린공원,,경기도 안양시 동안구 비산동 249-6,37.402484077,126.9486235965,30148,,,,,,1976-03-27,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41171-00009,낙원어린이공원(6호),어린이공원,,경기도 안양시 만안구 안양동 22-20,37.4132874926,126.920418,1653,,,,,,1974-12-04,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00003,임곡공원(24호),근린공원,,경기도 안양시 동안구 비산동 산140,37.405528969,126.9389694913,35536,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41173-00002,자유공원(13호),근린공원,,경기도 안양시 동안구 호계동 1112,37.379981,126.964031,192491.4,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41173-00001,호계공원(6호),근린공원,,경기도 안양시 동안구 호계동 165-8,37.3804569235,126.9414111738,305583.9,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41171-00008,생태예술공원(1호),문화공원,,경기도 안양시 만안구 안양동 산16-1,37.4191389451,126.935980408,3282144.4,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5289,2025-11-26
41171-00007,충훈공원(2호),문화공원,,경기도 안양시 만안구 석수동 산178,37.4102250463,126.9002863532,106996.5,,,,,,1973-07-12,경기도 안양시 공원관리과,031-8045-5289,2025-11-26
41171-00006,노송어린이공원(38호),어린이공원,,경기도 안양시 만안구 안양동 521-1,37.386383,126.930565,1656.2,,,,,,1970-02-18,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00005,교화어린이공원(36호),어린이공원,,경기도 안양시 만안구 안양동 396-1번지,37.393118,126.928904,1584.1,,,,,,1970-02-18,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00004,갈뫼어린이공원(5호),어린이공원,,경기도 안양시 만안구 석수동 295-1,37.410823,126.907747,5836.6,,,,,,1968-11-08,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00003,새샘어린이공원(8호),어린이공원,,경기도 안양시 만안구 안양동 824-11,37.404989,126.913767,943.3,,,,,,1968-11-08,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00002,냉천어린이공원(35호),어린이공원,,경기도 안양시 만안구 안양동 627-311,37.395206,126.922031,1615.2,,,,,,1954-08-21,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00001,밤동산어린이공원(34호),어린이공원,,경기도 안양시 만안구 안양동 711-94,37.396405,126.917639,1698,,,,,,1954-08-21,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00033,평안어린이공원(54호),어린이공원,,경기도 안양시 동안구 평안동 899-6,37.387261,126.960979,5192.2,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00032,꿈자람어린이공원(53호),어린이공원,,경기도 안양시 동안구 범계동 1054-4,37.385395,126.955239,8814.2,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00031,목련어린이공원(52호),어린이공원,,경기도 안양시 동안구 범계동 1052-2,37.387475,126.954678,4408.2,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00030,범계어린이공원(51호),어린이공원,,경기도 안양시 동안구 범계동 1053-5,37.386634,126.951499,5069.5,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00029,달안어린이공원(49호),어린이공원,,경기도 안양시 동안구 달안동 1109-2,37.394627,126.951046,5865.1,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00028,부안어린이공원(48호),어린이공원,,경기도 안양시 동안구 부림동 1588-4,37.398401,126.960052,3351.4,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00027,공작어린이공원(47호),어린이공원,,경기도 안양시 동안구 부림동 1587-1,37.400371,126.958411,3970.6,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00026,한가람어린이공원(46호),어린이공원,,경기도 안양시 동안구 부림동 1586-3,37.398705,126.954179,3553.2,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00025,희성어린이공원(43호),어린이공원,,경기도 안양시 동안구 달안동 1101-3,37.397355,126.949504,4997.4,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00024,부흥어린이공원(42호),어린이공원,,경기도 안양시 동안구 부흥동 1103-3,37.393404,126.947627,3228,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00023,관악어린이공원(41호),어린이공원,,경기도 안양시 동안구 부흥동 1102-6,37.394982,126.945634,4002.4,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
