PRKPLCE_NO,PRKPLCE_NM,PRKPLCE_SE,PRKPLCE_TYPE,RDNMADR,LNMADR,PRKCMPRT,FEEDING_SE,ENFORCE_SE,OPER_DAY,WEEKDAY_OPER_OPEN_HHMM,WEEKDAY_OPER_COLSE_HHMM,BASIC_TIME,BASIC_CHARGE,ADD_UNIT_TIME,ADD_UNIT_CHARGE,MONTH_CMMTKT,INSTITUTION_NM,PHONE_NUMBER,LATITUDE,LONGITUDE,REFERENCE_DATE
209-2-000003,관양2동 공업부지 노외 주차장,공영,노외,경기도 안양시 동안구 시민대로383번길 38,경기도 안양시 동안구 관양동 850-3,49,2,미시행,평일+토요일+공휴일,00:00,23:59,30,400,,,,경기도 안양시,031-8045-5255,37.398098,126.973011,2026-04-17
209-1-000006,호계고가밑 주차장,공영,노상,경기도 안양시 동안구 흥안대로 67,,30,2,미시행,평일,10:00,18:00,30,400,,,,경기도 안양시,031-8045-5255,37.369056,126.952098,2026-04-17
209-1-000005,인덕원노상2 주차장,공영,노상,경기도 안양시 동안구 흥안대로 524,,58,1,미시행,평일+토요일+공휴일,09:00,22:00,30,600,,,,경기도 안양시,031-8045-5255,37.400745,126.977342,2026-04-17
209-1-000004,인덕원노상1 주차장,공영,노상,경기도 안양시 동안구 흥안대로 527,,51,1,미시행,평일+토요일+공휴일,09:00,22:00,30,600,,,,경기도 안양시,031-8045-5255,37.401119,126.976131,2026-04-17
209-1-000003,관악노상1 주차장,공영,노상,경기도 안양시 동안구 관악대로 370,,92,1,미시행,평일+토요일,09:00,19:00,30,600,,,,경기도 안양시,031-8045-5255,37.403949,126.964044,2026-04-17
209-1-000002,관악노상2 주차장,공영,노상,경기도 안양시 동안구 관악대로 373,,126,1,미시행,평일+토요일,09:00,19:00,30,600,,,,경기도 안양시,031-8045-5255,37.404688,126.964073,2026-04-17
209-1-000001,관양시장노상 주차장,공영,노상,경기도 안양시 동안구 관평로 324,,27,2,미시행,평일,10:00,18:00,30,400,,,,경기도 안양시,031-8045-5255,37.404930,126.957766,2026-04-17
208-2-000050,안양8동 지하 주차장,공영,노외,,경기도 안양시 만안구 안양동 1287-6,134,4,미시행,평일,09:00,18:00,30,200,,,,경기도 안양시,031-8045-5255,37.385493,126.933120,2026-04-17
208-2-000049,호현마을 주민주차장 주차장,공영,노외,,경기도 안양시 만안구 박달동 867-12,62,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.406334,126.883768,2026-04-17
208-2-000048,호현마을 주차장,공영,노외,,경기도 안양시 만안구 박달동 818,64,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.405940,126.883488,2026-04-17
