inst_nm,sigun_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,rprs_telno_info,mon_bgng_treat_hr,mon_end_treat_hr,tue_bgng_treat_hr,tue_end_treat_hr,wed_bgng_treat_hr,wed_end_treat_hr,thu_bgng_treat_hr,thu_end_treat_hr,fri_bgng_treat_hr,fri_end_treat_hr,sat_bgng_treat_hr,sat_end_treat_hr,sun_bgng_treat_hr,sun_end_treat_hr,holdy_bgng_treat_hr,holdy_end_treat_hr,refine_wgs84_lat,refine_wgs84_logt
1(일)약국,안양시,경기도 안양시 만안구 박달로 518,경기도 안양시 만안구 박달동 68-16번지,14009,031-468-3354,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,17:00,,,,,37.4024396,126.9102165
100세건강약국,안양시,경기도 안양시 만안구 안양로 408,경기도 안양시 만안구 안양동 856-4번지 1층,13989,031-465-1320,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,20:00,,,,,37.4071497,126.9148462
1번약국,안양시,경기도 안양시 만안구 현충로48번길 57,경기도 안양시 만안구 안양동 447-10번지,14030,031-466-0521,08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,08:30,14:00,,,,,37.3930443,126.9242309
2층리본약국,안양시,경기도 안양시 동안구 평촌대로217번길 45,경기도 안양시 동안구 호계동 1050번지 평촌코아주차빌딩 208호,14072,031-381-6366,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,09:00,16:00,,,,,37.3899654,126.9535357
2층약국,안양시,경기도 안양시 동안구 경수대로 428,경기도 안양시 동안구 호계동 873번지 덕유파크 214호,14126,031-427-1350,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,37.3622442,126.9624999
365달빛약국,안양시,경기도 안양시 동안구 경수대로 876,"경기도 안양시 동안구 비산동 422-12번지 1층 일부(4,5)호",13954,031-385-3856,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3966218,126.9390488
365박달온누리약국,안양시,경기도 안양시 만안구 양화로 112,경기도 안양시 만안구 박달동 19-4번지 상민빌딩 101호,13987,031-465-3512,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,09:00,20:00,09:00,19:00,09:00,19:00,37.402757,126.9105982
365스마일약국,안양시,경기도 안양시 동안구 평촌대로217번길 27,경기도 안양시 동안구 호계동 1049번지 백두프라자 1층 108호,14072,031-381-8864,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3903288,126.9541431
365올바른약국,안양시,경기도 안양시 만안구 태평로52번길 21,경기도 안양시 만안구 안양동 1391번지 마드리드 상가 1층,14037,031-464-7511,08:30,20:00,08:30,20:00,08:30,20:00,08:30,20:00,08:30,20:00,08:00,18:00,10:00,18:00,,,37.3955263,126.9304934
365케어약국,안양시,경기도 안양시 만안구 관악대로 54,경기도 안양시 만안구 안양동 1389번지 105호,14037,031-464-0320,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3967714,126.9307325
4층가까운약국,안양시,경기도 안양시 동안구 시민대로 202,경기도 안양시 동안구 호계동 1042번지 에메랄드빌딩 4층 402호,14072,031-382-8248,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,13:30,,,,,37.3914885,126.9534795
4층약국,안양시,경기도 안양시 동안구 흥안대로 527,경기도 안양시 동안구 관양동 1502번지 스타타워빌딩 406호,13951,070-8211-1017,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,09:00,13:00,09:00,13:00,37.4011185,126.9761308
6층성모약국,안양시,경기도 안양시 동안구 동안로 120,경기도 안양시 동안구 호계동 1051번지 평촌스포츠센타 610호,14072,031-476-8221,07:30,18:30,07:30,18:30,07:30,18:30,07:30,18:30,07:30,18:30,08:00,15:00,,,,,37.3895629,126.9522508
7층은약국,안양시,경기도 안양시 동안구 시민대로 175,경기도 안양시 동안구 비산동 1108-1번지 동안프라자빌딩 704-1호,14048,031-383-2461,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3913481,126.950419
LG청룡약국,안양시,경기도 안양시 만안구 연현로79번길 41,"경기도 안양시 만안구 석수동 415-2번지 석수 엘지 빌리지 상가동 534동 101,102호",13903,031-472-4487,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,19:00,,,10:00,17:00,37.4305273,126.9014851
The나은약국,안양시,경기도 안양시 동안구 부림로 188,경기도 안양시 동안구 관양동 1123-1번지 청용빌딩 1층 104호,14055,031-421-4613,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,16:00,13:00,18:00,,,37.3997013,126.9616224
e편한약국,안양시,경기도 안양시 만안구 경수대로 1201,경기도 안양시 만안구 석수동 182-2번지 석수대림아파트 상가 211호,13961,031-471-2830,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,13:30,,,,,37.4160077,126.9143479
가까운약국,안양시,경기도 안양시 만안구 안양로 225,경기도 안양시 만안구 안양동 445-1번지,14030,031-468-5566,08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,08:30,13:00,,,,,37.3932575,126.9254381
건강약국,안양시,경기도 안양시 동안구 동편로 6,경기도 안양시 동안구 관양동 1725-1번지 스마트프라자 110호,13929,031-421-3707,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,19:00,,,,,37.4055686,126.9714671
건인약국,안양시,경기도 안양시 동안구 인덕원로24번길 56,경기도 안양시 동안구 관양동 1496번지,13951,031-423-1185,10:00,22:30,10:00,22:30,10:00,22:30,10:00,22:30,10:00,22:30,10:00,22:30,,,,,37.3999156,126.9752014
경희다미원한약국,안양시,경기도 안양시 만안구 창박로 41,경기도 안양시 만안구 안양동 1088-1번지 포거스라인프라자 303호,14025,031-444-7582,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,14:00,,,,,37.3842124,126.9027458
경희약국,안양시,,경기도 안양시 만안구 만안로 287,,031-449-9368,08:30,22:00,08:30,22:00,08:30,22:00,08:30,22:00,08:30,22:00,08:30,21:00,,,08:30,22:00,,
경희양춘당한약국,안양시,경기도 안양시 만안구 석천로 172,경기도 안양시 만안구 석수동 305-3번지 성우빌딩 1층,13969,031-441-6762,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,16:00,,,,,37.4120114,126.9082769
경희한약국,안양시,경기도 안양시 만안구 안양로 324,경기도 안양시 만안구 안양동 1195-48번지 1층,13992,031-468-9742,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,,,37.4010375,126.9201588
고약국,안양시,경기도 안양시 동안구 경수대로 529,경기도 안양시 동안구 호계동 968-2번지 1층,14120,031-455-7861,09:30,19:30,09:30,19:30,09:30,19:30,09:30,19:30,09:30,19:30,09:30,15:00,,,,,37.3699919,126.9576448
고운온누리약국,안양시,경기도 안양시 동안구 시민대로 317,경기도 안양시 동안구 관양동 1746-2번지 대한스마트타워 110호,14055,031-422-3153,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,,,,,,,37.3962661,126.9653752
곰약국,안양시,경기도 안양시 만안구 안양로510번길 18,경기도 안양시 만안구 석수동 274-1번지,13964,031-472-0606,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,,,,,37.4151528,126.9091902
관악약국,안양시,경기도 안양시 만안구 경수대로 1259,경기도 안양시 만안구 석수동 104-150번지 해동빌딩 1층 103호,13960,031-472-3214,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,,,,37.4197502,126.9092784
관양온누리약국,안양시,경기도 안양시 동안구 관악대로 387,"경기도 안양시 동안구 관양동 1432-8번지 1층 101,102호",13939,031-421-1320,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,16:00,09:00,14:00,09:00,14:00,37.4049303,126.9658221
관양우리약국,안양시,경기도 안양시 동안구 관평로 313,경기도 안양시 동안구 관양동 1400-4번지 1층,13936,031-381-2221,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:30,,,,,37.4041967,126.9571497
광성약국,안양시,경기도 안양시 만안구 안양로405번길 14,경기도 안양시 만안구 안양동 835-6번지 1층,13985,031-445-2881,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,13:00,21:00,13:00,21:00,37.4066672,126.9138782
굿모닝약국,안양시,경기도 안양시 동안구 시민대로 175,경기도 안양시 동안구 비산동 1108-1번지 동안프라자 314호,14048,031-476-1723,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,14:30,,,,,37.3913481,126.950419
그린프라자약국,안양시,경기도 안양시 동안구 경수대로 558,경기도 안양시 동안구 호계동 995-5번지 1층,14112,031-455-7900,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,21:00,09:30,21:00,37.3725273,126.9582138
금정약국,안양시,,경기도 안양시 동안구 비산동 1101-2번지 샛별한양아파트에이상가 101호,14043,031-383-1446,09:30,20:30,09:30,20:30,09:30,20:30,09:30,20:30,09:30,20:30,09:30,19:30,,,,,37.3968422,126.9494977
기원약국,안양시,경기도 안양시 동안구 시민대로327번길 6,경기도 안양시 동안구 관양동 1019-5번지 W에이스타워 111호,14055,031-454-9902,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,17:00,,,,,37.3966069,126.9669997
길약국,안양시,경기도 안양시 동안구 비산로 21,경기도 안양시 동안구 비산동 554-9번지 자이파크몰 1층 102호,13925,031-443-4874,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.4000254,126.9326286
나라온누리약국,안양시,경기도 안양시 동안구 평촌대로243번길 30,경기도 안양시 동안구 비산동 1110-1번지 샤크존빌딩 1층 A138호,14047,031-476-0224,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,16:30,,,,,37.3928385,126.9530404
나우(now)백화점약국,안양시,경기도 안양시 만안구 안양로 300,경기도 안양시 만안구 안양동 674-122번지 1층 일부호,13992,031-441-8846,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,10:00,21:00,10:00,21:00,37.3991244,126.9215406
나은온누리약국,안양시,경기도 안양시 만안구 안양로223번길 5,경기도 안양시 만안구 안양동 456-1번지,14030,031-443-5111,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,14:00,,,,,37.3929072,126.9257119
노들약국,안양시,경기도 안양시 만안구 냉천로 125,경기도 안양시 만안구 안양동 618-12번지 안양어반포레자연앤이편한세상3단지 3-3상가동 201호,14029,031-443-3001,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,18:00,09:00,18:00,09:00,18:00,37.3909504,126.9218294
뉴그랜드약국,안양시,경기도 안양시 동안구 관평로 315-1,경기도 안양시 동안구 관양동 1399-2번지 1층,13936,031-476-2361,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,16:00,,,,,37.4046298,126.957237
뉴키즈맘약국,안양시,경기도 안양시 동안구 관악대로 272,경기도 안양시 동안구 비산동 1059번지 키즈맘센터 A동 117호,13944,031-383-9961,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,16:00,,,,,37.401861,126.9529861
늘벗온누리약국,안양시,경기도 안양시 동안구 관평로 319,경기도 안양시 동안구 관양동 1397-9번지 상이상가 105호,13936,031-422-6873,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,14:00,10:00,13:00,,,37.4051985,126.9574363
늘봄약국,안양시,경기도 안양시 만안구 박달로 531,경기도 안양시 만안구 박달동 74-10번지,13987,031-465-0111,09:00,22:30,09:00,22:30,09:00,22:30,09:00,22:30,09:00,22:30,09:00,22:30,09:00,22:30,,,37.402763,126.9118184
늘편한약국,안양시,경기도 안양시 만안구 안양로 307,경기도 안양시 만안구 안양동 676-7번지 금상타워 103호,14001,031-466-1237,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3992548,126.920568
