학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000003853,안양중앙초등학교,초등학교,1984-09-04,공립,본교,운영,경기도 안양시 동안구 비산동 423,경기도 안양시 동안구 경수대로883번길 11,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39553138,126.9377855,2026-03-20,B554398,한국교육시설안전원
B000009263,대안여자중학교,중학교,1986-05-06,공립,본교,운영,경기도 안양시 동안구 호계동 1231,경기도 안양시 동안구 흥안대로223번길 46,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.3771591,126.9651002,2026-03-20,B554398,한국교육시설안전원
B000003875,호계초등학교,초등학교,1981-03-01,공립,본교,운영,경기도 안양시 동안구 호계동 923-17,경기도 안양시 동안구 경수대로707번길 27,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38427093,126.9501232,2026-03-20,B554398,한국교육시설안전원
B000003866,안양관악초등학교,초등학교,2000-03-01,공립,본교,운영,경기도 안양시 동안구 관양동 367-2,경기도 안양시 동안구 일동로 201,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40664855,126.9681914,2026-03-20,B554398,한국교육시설안전원
B000009271,호성중학교,중학교,2003-03-01,공립,본교,운영,경기도 안양시 동안구 호계동 781-3,경기도 안양시 동안구 호성로 55,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.36691837,126.9637649,2026-03-20,B554398,한국교육시설안전원
B000012500,안양고등학교,고등학교,1983-03-03,공립,본교,운영,경기도 안양시 만안구 박달동 144-3,경기도 안양시 만안구 삼봉로 46,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40048898,126.90136,2026-03-20,B554398,한국교육시설안전원
B000009274,부림중학교,중학교,1992-09-01,공립,본교,운영,경기도 안양시 동안구 관양동 1586-1,경기도 안양시 동안구 달안로 95,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39806651,126.9532768,2026-03-20,B554398,한국교육시설안전원
B000009275,부안중학교,중학교,1994-03-01,공립,본교,운영,경기도 안양시 동안구 관양동 1588-5,경기도 안양시 동안구 달안로 170,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39909518,126.9606259,2026-03-20,B554398,한국교육시설안전원
B000003852,샘모루초등학교,초등학교,2004-03-01,공립,본교,운영,경기도 안양시 동안구 비산동 405,경기도 안양시 동안구 관악대로 155,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.3996207,126.9408353,2026-03-20,B554398,한국교육시설안전원
B000012503,관양고등학교,고등학교,2002-03-01,공립,본교,운영,경기도 안양시 동안구 관양동 523-4,경기도 안양시 동안구 일동로 115,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40881423,126.9601177,2026-03-20,B554398,한국교육시설안전원
