gu,dong,adm_cd,old_house_cnt,total_house_cnt,old_house_ratio,base_year
만안구,안양1동,31041510,70,4314,1.6,2024
만안구,안양2동,31041520,1833,7367,24.9,2024
만안구,안양3동,31041530,1846,5292,34.9,2024
만안구,안양4동,31041540,641,1855,34.6,2024
만안구,안양5동,31041550,651,2653,24.5,2024
만안구,안양6동,31041560,1269,7359,17.2,2024
만안구,안양7동,31041570,525,5194,10.1,2024
만안구,안양8동,31041580,1049,2642,39.7,2024
만안구,안양9동,31041590,2041,5792,35.2,2024
만안구,석수1동,31041600,636,6723,9.5,2024
만안구,석수2동,31041610,2774,9875,28.1,2024
만안구,박달동,31041630,1411,4158,33.9,2024
만안구,호현동,31041640,1997,6641,30.1,2024
만안구,충훈동,31041651,2518,4422,56.9,2024
동안구,비산1동,31042510,70,10085,0.7,2024
동안구,비산2동,31042520,667,4925,13.5,2024
동안구,비산3동,31042530,2092,6124,34.2,2024
동안구,부흥동,31042540,5994,6000,99.9,2024
동안구,달안동,31042550,4976,4976,100.0,2024
동안구,부림동,31042580,4513,7377,61.2,2024
동안구,평촌동,31042590,200,4547,4.4,2024
동안구,평안동,31042600,6912,7817,88.4,2024
동안구,귀인동,31042610,2214,4302,51.5,2024
동안구,호계1동,31042620,220,9031,2.4,2024
동안구,호계2동,31042630,1278,8026,15.9,2024
동안구,호계3동,31042640,871,7823,11.1,2024
동안구,범계동,31042650,4306,4882,88.2,2024
동안구,신촌동,31042660,3081,3804,81.0,2024
동안구,갈산동,31042670,1593,2601,61.2,2024
동안구,관양동,31042681,5463,11441,47.7,2024
동안구,인덕원동,31042691,1829,5938,30.8,2024
