gu,dong,age_band,total,male,female
만안구,안양1동,계,18504,9221,9283
만안구,안양2동,계,22147,11099,11048
만안구,안양3동,계,14790,7280,7510
만안구,안양4동,계,6457,3222,3235
만안구,안양5동,계,14547,7207,7340
만안구,안양6동,계,26928,13550,13378
만안구,안양7동,계,14608,7178,7430
만안구,안양8동,계,7827,4038,3789
만안구,안양9동,계,15597,7675,7922
만안구,석수1동,계,18291,8895,9396
만안구,석수2동,계,28786,14357,14429
만안구,충훈동,계,11717,5964,5753
만안구,박달동,계,13420,6715,6705
만안구,호현동,계,20130,9991,10139
동안구,비산1동,계,28231,13687,14544
동안구,비산2동,계,13192,6478,6714
동안구,비산3동,계,17899,8850,9049
동안구,부흥동,계,15946,7621,8325
동안구,달안동,계,9386,4187,5199
동안구,관양동,계,32076,15704,16372
동안구,인덕원동,계,17870,9157,8713
동안구,부림동,계,26355,12730,13625
동안구,평촌동,계,14872,7308,7564
동안구,평안동,계,22351,10899,11452
동안구,귀인동,계,16046,7955,8091
동안구,호계1동,계,26915,13440,13475
동안구,호계2동,계,27009,13167,13842
동안구,호계3동,계,23860,11957,11903
동안구,범계동,계,14995,7222,7773
동안구,신촌동,계,12232,5935,6297
동안구,갈산동,계,10295,5007,5288
만안구,안양1동,0~4세,774,407,367
만안구,안양2동,0~4세,597,311,286
만안구,안양3동,0~4세,159,80,79
만안구,안양4동,0~4세,69,37,32
만안구,안양5동,0~4세,589,301,288
만안구,안양6동,0~4세,1018,489,529
만안구,안양7동,0~4세,688,344,344
만안구,안양8동,0~4세,85,41,44
만안구,안양9동,0~4세,223,115,108
만안구,석수1동,0~4세,491,247,244
만안구,석수2동,0~4세,641,339,302
만안구,충훈동,0~4세,261,120,141
만안구,박달동,0~4세,139,69,70
만안구,호현동,0~4세,633,332,301
동안구,비산1동,0~4세,1196,601,595
동안구,비산2동,0~4세,550,314,236
동안구,비산3동,0~4세,667,331,336
동안구,부흥동,0~4세,428,213,215
동안구,달안동,0~4세,201,114,87
동안구,관양동,0~4세,496,247,249
동안구,인덕원동,0~4세,421,215,206
동안구,부림동,0~4세,934,502,432
동안구,평촌동,0~4세,480,239,241
동안구,평안동,0~4세,710,357,353
동안구,귀인동,0~4세,194,99,95
동안구,호계1동,0~4세,1497,761,736
동안구,호계2동,0~4세,1046,568,478
동안구,호계3동,0~4세,840,409,431
동안구,범계동,0~4세,335,162,173
동안구,신촌동,0~4세,320,168,152
동안구,갈산동,0~4세,118,61,57
만안구,안양1동,5~9세,518,262,256
만안구,안양2동,5~9세,524,266,258
만안구,안양3동,5~9세,273,154,119
만안구,안양4동,5~9세,71,37,34
만안구,안양5동,5~9세,424,207,217
만안구,안양6동,5~9세,766,379,387
만안구,안양7동,5~9세,657,322,335
만안구,안양8동,5~9세,110,55,55
만안구,안양9동,5~9세,321,156,165
만안구,석수1동,5~9세,516,280,236
만안구,석수2동,5~9세,691,333,358
만안구,충훈동,5~9세,276,131,145
만안구,박달동,5~9세,220,106,114
만안구,호현동,5~9세,796,399,397
동안구,비산1동,5~9세,1256,638,618
동안구,비산2동,5~9세,586,317,269
동안구,비산3동,5~9세,585,278,307
동안구,부흥동,5~9세,562,306,256
동안구,달안동,5~9세,159,89,70
동안구,관양동,5~9세,614,310,304
동안구,인덕원동,5~9세,425,213,212
동안구,부림동,5~9세,652,321,331
동안구,평촌동,5~9세,536,283,253
동안구,평안동,5~9세,1212,617,595
동안구,귀인동,5~9세,815,441,374
동안구,호계1동,5~9세,1717,849,868
동안구,호계2동,5~9세,936,452,484
동안구,호계3동,5~9세,794,412,382
동안구,범계동,5~9세,536,294,242
동안구,신촌동,5~9세,468,236,232
동안구,갈산동,5~9세,348,169,179
만안구,안양1동,10~14세,509,261,248
만안구,안양2동,10~14세,632,311,321
만안구,안양3동,10~14세,385,199,186
만안구,안양4동,10~14세,142,66,76
만안구,안양5동,10~14세,418,229,189
만안구,안양6동,10~14세,674,353,321
만안구,안양7동,10~14세,688,348,340
만안구,안양8동,10~14세,194,108,86
만안구,안양9동,10~14세,479,248,231
만안구,석수1동,10~14세,607,302,305
만안구,석수2동,10~14세,967,518,449
만안구,충훈동,10~14세,412,215,197
만안구,박달동,10~14세,354,162,192
만안구,호현동,10~14세,1031,535,496
동안구,비산1동,10~14세,1201,612,589
동안구,비산2동,10~14세,566,276,290
동안구,비산3동,10~14세,578,289,289
동안구,부흥동,10~14세,828,437,391
동안구,달안동,10~14세,194,99,95
동안구,관양동,10~14세,843,455,388
동안구,인덕원동,10~14세,543,279,264
동안구,부림동,10~14세,1004,509,495
동안구,평촌동,10~14세,744,358,386
동안구,평안동,10~14세,1797,904,893
동안구,귀인동,10~14세,1895,1021,874
동안구,호계1동,10~14세,1787,928,859
동안구,호계2동,10~14세,1186,583,603
동안구,호계3동,10~14세,921,472,449
동안구,범계동,10~14세,1027,520,507
동안구,신촌동,10~14세,683,344,339
동안구,갈산동,10~14세,786,341,445
만안구,안양1동,15~19세,691,343,348
만안구,안양2동,15~19세,701,346,355
만안구,안양3동,15~19세,561,280,281
만안구,안양4동,15~19세,236,101,135
만안구,안양5동,15~19세,563,294,269
만안구,안양6동,15~19세,843,444,399
만안구,안양7동,15~19세,565,295,270
만안구,안양8동,15~19세,242,123,119
만안구,안양9동,15~19세,546,254,292
만안구,석수1동,15~19세,634,337,297
만안구,석수2동,15~19세,1092,582,510
만안구,충훈동,15~19세,516,282,234
만안구,박달동,15~19세,507,268,239
만안구,호현동,15~19세,1053,551,502
동안구,비산1동,15~19세,1165,585,580
동안구,비산2동,15~19세,600,298,302
동안구,비산3동,15~19세,661,353,308
동안구,부흥동,15~19세,983,517,466
동안구,달안동,15~19세,255,148,107
동안구,관양동,15~19세,1181,611,570
동안구,인덕원동,15~19세,609,301,308
동안구,부림동,15~19세,1059,555,504
동안구,평촌동,15~19세,745,373,372
동안구,평안동,15~19세,1536,810,726
동안구,귀인동,15~19세,1517,802,715
동안구,호계1동,15~19세,1224,658,566
동안구,호계2동,15~19세,1285,651,634
동안구,호계3동,15~19세,990,501,489
동안구,범계동,15~19세,963,499,464
동안구,신촌동,15~19세,855,419,436
동안구,갈산동,15~19세,725,357,368
만안구,안양1동,20~24세,974,488,486
만안구,안양2동,20~24세,1056,527,529
만안구,안양3동,20~24세,804,405,399
만안구,안양4동,20~24세,368,167,201
만안구,안양5동,20~24세,639,322,317
만안구,안양6동,20~24세,1123,540,583
만안구,안양7동,20~24세,608,315,293
만안구,안양8동,20~24세,411,211,200
만안구,안양9동,20~24세,638,337,301
만안구,석수1동,20~24세,824,434,390
만안구,석수2동,20~24세,1391,706,685
만안구,충훈동,20~24세,607,349,258
만안구,박달동,20~24세,582,280,302
만안구,호현동,20~24세,987,522,465
동안구,비산1동,20~24세,1379,716,663
동안구,비산2동,20~24세,705,364,341
동안구,비산3동,20~24세,806,430,376
동안구,부흥동,20~24세,831,440,391
동안구,달안동,20~24세,317,145,172
동안구,관양동,20~24세,1522,808,714
동안구,인덕원동,20~24세,893,431,462
동안구,부림동,20~24세,1194,577,617
동안구,평촌동,20~24세,753,389,364
동안구,평안동,20~24세,1047,557,490
동안구,귀인동,20~24세,850,437,413
동안구,호계1동,20~24세,1019,521,498
동안구,호계2동,20~24세,1355,684,671
동안구,호계3동,20~24세,1096,566,530
동안구,범계동,20~24세,814,408,406
동안구,신촌동,20~24세,649,327,322
동안구,갈산동,20~24세,535,283,252
만안구,안양1동,25~29세,1299,656,643
만안구,안양2동,25~29세,1610,819,791
만안구,안양3동,25~29세,1052,561,491
만안구,안양4동,25~29세,487,261,226
만안구,안양5동,25~29세,881,448,433
만안구,안양6동,25~29세,2212,1064,1148
만안구,안양7동,25~29세,881,453,428
만안구,안양8동,25~29세,575,331,244
만안구,안양9동,25~29세,936,525,411
만안구,석수1동,25~29세,1116,577,539
만안구,석수2동,25~29세,1948,1037,911
만안구,충훈동,25~29세,754,439,315
만안구,박달동,25~29세,861,439,422
만안구,호현동,25~29세,1261,673,588
동안구,비산1동,25~29세,1672,830,842
동안구,비산2동,25~29세,726,365,361
동안구,비산3동,25~29세,1268,673,595
동안구,부흥동,25~29세,936,475,461
동안구,달안동,25~29세,791,341,450
동안구,관양동,25~29세,2625,1427,1198
동안구,인덕원동,25~29세,1606,941,665
동안구,부림동,25~29세,2025,959,1066
동안구,평촌동,25~29세,980,512,468
동안구,평안동,25~29세,1041,527,514
동안구,귀인동,25~29세,714,364,350
동안구,호계1동,25~29세,1331,637,694
동안구,호계2동,25~29세,1810,888,922
동안구,호계3동,25~29세,1691,879,812
동안구,범계동,25~29세,919,496,423
동안구,신촌동,25~29세,695,363,332
동안구,갈산동,25~29세,627,339,288
만안구,안양1동,30~34세,1825,929,896
만안구,안양2동,30~34세,1921,1029,892
만안구,안양3동,30~34세,1063,606,457
만안구,안양4동,30~34세,482,252,230
만안구,안양5동,30~34세,1213,610,603
만안구,안양6동,30~34세,3093,1653,1440
만안구,안양7동,30~34세,1321,648,673
만안구,안양8동,30~34세,574,336,238
만안구,안양9동,30~34세,994,547,447
만안구,석수1동,30~34세,1271,659,612
만안구,석수2동,30~34세,2035,1062,973
만안구,충훈동,30~34세,793,437,356
만안구,박달동,30~34세,827,468,359
만안구,호현동,30~34세,1451,742,709
동안구,비산1동,30~34세,2059,973,1086
동안구,비산2동,30~34세,926,442,484
동안구,비산3동,30~34세,1574,804,770
동안구,부흥동,30~34세,1028,507,521
동안구,달안동,30~34세,1301,631,670
동안구,관양동,30~34세,2547,1441,1106
동안구,인덕원동,30~34세,1714,975,739
동안구,부림동,30~34세,3208,1596,1612
동안구,평촌동,30~34세,1135,592,543
동안구,평안동,30~34세,1470,727,743
동안구,귀인동,30~34세,463,242,221
동안구,호계1동,30~34세,2325,1106,1219
동안구,호계2동,30~34세,2286,1137,1149
동안구,호계3동,30~34세,2013,1038,975
동안구,범계동,30~34세,1211,579,632
동안구,신촌동,30~34세,720,353,367
동안구,갈산동,30~34세,441,252,189
만안구,안양1동,35~39세,1664,853,811
만안구,안양2동,35~39세,1674,911,763
만안구,안양3동,35~39세,787,424,363
만안구,안양4동,35~39세,339,203,136
만안구,안양5동,35~39세,1222,651,571
만안구,안양6동,35~39세,2430,1316,1114
만안구,안양7동,35~39세,1257,601,656
만안구,안양8동,35~39세,428,256,172
만안구,안양9동,35~39세,841,476,365
만안구,석수1동,35~39세,1204,599,605
만안구,석수2동,35~39세,1660,860,800
만안구,충훈동,35~39세,652,348,304
만안구,박달동,35~39세,637,363,274
만안구,호현동,35~39세,1405,712,693
동안구,비산1동,35~39세,2544,1248,1296
동안구,비산2동,35~39세,1123,546,577
동안구,비산3동,35~39세,1385,731,654
동안구,부흥동,35~39세,1003,494,509
동안구,달안동,35~39세,868,452,416
동안구,관양동,35~39세,1808,982,826
동안구,인덕원동,35~39세,1294,708,586
동안구,부림동,35~39세,2622,1398,1224
동안구,평촌동,35~39세,988,498,490
동안구,평안동,35~39세,1655,766,889
동안구,귀인동,35~39세,589,246,343
동안구,호계1동,35~39세,2975,1489,1486
동안구,호계2동,35~39세,2225,1149,1076
동안구,호계3동,35~39세,1891,989,902
동안구,범계동,35~39세,993,482,511
동안구,신촌동,35~39세,792,397,395
동안구,갈산동,35~39세,453,215,238
만안구,안양1동,40~44세,1305,716,589
만안구,안양2동,40~44세,1513,837,676
만안구,안양3동,40~44세,876,482,394
만안구,안양4동,40~44세,385,229,156
만안구,안양5동,40~44세,1066,578,488
만안구,안양6동,40~44세,2205,1212,993
만안구,안양7동,40~44세,1359,727,632
