gu,dong,total_population,male,female,households
만안구,안양1동,18948,9472,9476,7949
만안구,안양2동,22879,11470,11409,10732
만안구,안양3동,15348,7551,7797,7205
만안구,안양4동,6690,3338,3352,3516
만안구,안양5동,14970,7402,7568,6717
만안구,안양6동,27828,14006,13822,13133
만안구,안양7동,14794,7310,7484,5804
만안구,안양8동,8271,4251,4020,4132
만안구,안양9동,15692,7716,7976,6958
만안구,석수1동,18410,8949,9461,7472
만안구,석수2동,29129,14510,14619,12392
만안구,충훈동,11807,6017,5790,5297
만안구,박달동,14088,7082,7006,6682
만안구,호현동,20295,10080,10215,7533
동안구,비산1동,28340,13729,14611,10546
동안구,비산2동,13240,6508,6732,4771
동안구,비산3동,18020,8917,9103,7719
동안구,부흥동,15979,7630,8349,6316
동안구,달안동,9459,4205,5254,5373
동안구,관양동,32333,15822,16511,15277
동안구,인덕원동,18133,9306,8827,8756
동안구,부림동,26630,12836,13794,12697
동안구,평촌동,14908,7325,7583,5368
동안구,평안동,22412,10922,11490,8056
동안구,귀인동,16071,7959,8112,5074
동안구,호계1동,27031,13493,13538,10312
동안구,호계2동,27138,13227,13911,10542
동안구,호계3동,24024,12019,12005,9506
동안구,범계동,15107,7265,7842,5872
동안구,신촌동,12265,5949,6316,4425
동안구,갈산동,10359,5030,5329,3849
